id,opened_ts,asset,series,market_ticker,event_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,spot_at_open,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,count,live,order_id,status,settle_price,settled_ts,pnl,product
51,2026-08-21T16:27:37.316820+00:00,SOL,KXSOLD,KXSOLD-26AUG2113-T90.9999,KXSOLD-26AUG2113,"SOL price on Aug 21, 2026?",$91 or above,greater,90.9999,,yes,buy,2026-08-21T17:00:00Z,91.31,0.843,0.802,1.248,5.2,21.0,6.38,7,0,,won,91.57,2026-08-21T17:01:12.042807+00:00,1.58,SOL-USD
52,2026-08-21T18:24:43.094514+00:00,XRP,KXXRP,KXXRP-26AUG2117-B1.3899500,KXXRP-26AUG2117,"Ripple price at Aug 21, 2026 at 5pm EDT?",$1.38 to 1.3999,between,1.38,1.3999,yes,buy,2026-08-21T21:00:00Z,1.3908,0.458,0.407,2.459,12.7,8.7,2.6,6,0,,lost,1.3732,2026-08-21T21:15:54.726332+00:00,-2.6,XRP-USD
53,2026-08-21T19:45:34.611393+00:00,XRP,KXXRP,KXXRP-26AUG2117-B1.3699500,KXXRP-26AUG2117,"Ripple price at Aug 21, 2026 at 5pm EDT?",$1.36 to 1.3799,between,1.36,1.3799,yes,buy,2026-08-21T21:00:00Z,1.3725,0.602,0.437,2.288,37.8,11.6,3.49,7,0,,won,1.3732,2026-08-21T21:15:54.726332+00:00,4.5,XRP-USD
54,2026-08-21T19:45:34.611393+00:00,XRP,KXXRP,KXXRP-26AUG2117-B1.3499500,KXXRP-26AUG2117,"Ripple price at Aug 21, 2026 at 5pm EDT?",$1.34 to 1.3599,between,1.34,1.3599,no,buy,2026-08-21T21:00:00Z,1.3725,0.874,0.849,1.177,2.9,16.6,4.97,5,0,,won,1.3732,2026-08-21T21:15:54.726332+00:00,0.88,XRP-USD
55,2026-08-21T21:15:54.726332+00:00,SOL,KXSOLD,KXSOLD-26AUG2118-T91.9999,KXSOLD-26AUG2118,"SOL price on Aug 21, 2026?",$92 or above,greater,91.9999,,yes,buy,2026-08-21T22:00:00Z,92.175,0.693,0.666,1.502,4.0,8.0,2.29,3,0,,won,93.76,2026-08-21T22:15:14.434531+00:00,1.15,SOL-USD
56,2026-08-21T21:46:20.201522+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T90.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$91 or above,greater,90.9999,,yes,buy,2026-08-22T21:00:00Z,93.13,0.845,0.802,1.248,5.4,21.8,6.23,7,0,,open,,,,SOL-USD
57,2026-08-21T22:15:14.434531+00:00,SOL,KXSOLD,KXSOLD-26AUG2119-T94.4999,KXSOLD-26AUG2119,"SOL price on Aug 21, 2026?",$94.5 or above,greater,94.4999,,no,buy,2026-08-21T23:00:00Z,94.05,0.875,0.763,1.31,14.6,47.1,13.5,17,0,,won,94.08,2026-08-21T23:15:54.437295+00:00,4.19,SOL-USD
58,2026-08-21T22:15:14.434531+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T95.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$96 or above,greater,95.9999,,no,buy,2026-08-22T21:00:00Z,94.05,0.826,0.734,1.362,12.5,34.5,9.9,13,0,,open,,,,SOL-USD
59,2026-08-21T22:15:14.434531+00:00,SOL,KXSOLD,KXSOLD-26AUG2119-T94.2499,KXSOLD-26AUG2119,"SOL price on Aug 21, 2026?",$94.25 or above,greater,94.2499,,no,buy,2026-08-21T23:00:00Z,94.05,0.709,0.646,1.547,9.7,17.8,5.1,7,0,,won,94.08,2026-08-21T23:15:54.437295+00:00,2.79,SOL-USD
60,2026-08-21T23:15:54.437295+00:00,SOL,KXSOLD,KXSOLD-26AUG2120-T93.7499,KXSOLD-26AUG2120,"SOL price on Aug 21, 2026?",$93.75 or above,greater,93.7499,,yes,buy,2026-08-22T00:00:00Z,94.13,0.841,0.763,1.31,10.2,32.8,9.7,12,0,,lost,93.55,2026-08-22T00:45:05.180612+00:00,-9.7,SOL-USD
